block_id,model_category,shape_family,support_class,shape_description,geometry_details,average_color_hex,average_color_r,average_color_g,average_color_b,average_alpha_coverage,face_color_summary,different_faces,tint_policy,material_tags,model_count,blockstate_model_ref_count,rotated_by_blockstate,model_sources,parent_models,texture_sources,confidence,notes
minecraft:acacia_button,irregular_dependent,irregular_model,dependent_on_support_or_counterpart,"Irregular non-cube geometry that is expected to depend on a support block, substrate, or paired state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Button geometry is a small face-mounted cuboid. face/facing chooses the support face and orientation; powered=true uses a thinner pressed protrusion, while powered=false protrudes farther from the support surface.",#A85A32,168,90,50,1.000,,,none,,2,24,yes,minecraft:block/acacia_button;minecraft:block/acacia_button_pressed,button;button_pressed,minecraft:block/acacia_planks,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:acacia_door,irregular_dependent,hinged_panel,dependent_on_support_or_counterpart,"Irregular thin hinged panel; open/closed, half, hinge, or facing changes by state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Door-like geometry is a thin vertical panel about 0.1875 blocks thick and one block tall per half. half=lower/upper selects the lower or upper block of the two-block door. facing chooses the panel orientation, hinge selects the pivot side, and open=true rotates the panel around that hinge.",#AA603E,170,96,62,1.000,,,none,,8,32,yes,minecraft:block/acacia_door_bottom_left;minecraft:block/acacia_door_bottom_left_open;minecraft:block/acacia_door_bottom_right;minecraft:block/acacia_door_bottom_right_open;minecraft:block/acacia_door_top_left;minecraft:block/acacia_door_top_left_open;minecraft:block/acacia_door_top_right;minecraft:block/acacia_door_top_right_open,door_bottom_left;door_bottom_left_open;door_bottom_right;door_bottom_right_open;door_top_left;door_top_left_open;door_top_right;door_top_right_open,minecraft:block/acacia_door_bottom;minecraft:block/acacia_door_top,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:acacia_fence,thin_wall,fence,self_supporting_geometry,"Narrow multipart connector: thin post, pane, bar, fence, or gate segments.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Fence geometry is multipart. The center post is [0.375,0,0.375]-[0.625,1,0.625]. Each north/east/south/west=true connector adds two narrow horizontal rails from the post toward that face: lower rail around y=0.375..0.5625 and upper rail around y=0.75..0.9375, with a 0.125-thick cross-section. false leaves that side open.",#A85B33,168,91,51,1.000,,,none,architectural_shape,2,5,yes,minecraft:block/acacia_fence_post;minecraft:block/acacia_fence_side,fence_post;fence_side,minecraft:block/acacia_planks,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:acacia_fence_gate,thin_wall,fence_gate,self_supporting_geometry,"Narrow multipart connector: thin post, pane, bar, fence, or gate segments.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Fence gate geometry is a pair of narrow side posts plus two hinged gate leaves. open=false places the leaves across the center line as a thin barrier; open=true swings the leaves back against the side posts. facing rotates the gate axis. in_wall=true lowers the posts and rails to align with coarse wall height, using the same narrow footprints but shifted downward.",#A85B33,168,91,51,1.000,,,none,architectural_shape,4,16,yes,minecraft:block/acacia_fence_gate;minecraft:block/acacia_fence_gate_open;minecraft:block/acacia_fence_gate_wall;minecraft:block/acacia_fence_gate_wall_open,block;template_fence_gate;template_fence_gate_open;template_fence_gate_wall;template_fence_gate_wall_open,minecraft:block/acacia_planks,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:acacia_hanging_sign,entity_block,entity_renderer,entity_or_block_entity_renderer,Special renderer/entity-style block; normal model geometry is not authoritative.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. This block is rendered by an entity, block entity, or special renderer rather than by a normal solid block model. Treat its world geometry as renderer-defined; this CSV intentionally does not infer a precise color or cuboid mesh from the block model.",,,,,,,,none,,1,1,no,minecraft:block/acacia_hanging_sign,,,high,Average color intentionally omitted because this is handled by entity/block-entity rendering.
minecraft:acacia_leaves,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#47661C,71,102,28,1.000,down=#47661C;up=#47661C;north=#47661C;south=#47661C;west=#47661C;east=#47661C,,plains_foliage,vegetation,1,1,no,minecraft:block/acacia_leaves,block;leaves,minecraft:block/acacia_leaves,medium,Tinted textures use the plains biome approximation for color averaging.
minecraft:acacia_log,full_cube_different_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with face-dependent visual treatment.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#7D5F4F,125,95,79,1.000,down=#9C5939;up=#9C5939;north=#696258;south=#696258;west=#696258;east=#696258,down=#9C5939;up=#9C5939,none,wood,2,3,yes,minecraft:block/acacia_log;minecraft:block/acacia_log_horizontal,block;cube;cube_column;cube_column_horizontal,minecraft:block/acacia_log;minecraft:block/acacia_log_top,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:acacia_planks,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#A95B33,169,91,51,1.000,down=#A95B33;up=#A95B33;north=#A95B33;south=#A95B33;west=#A95B33;east=#A95B33,,none,wood,1,1,no,minecraft:block/acacia_planks,block;cube;cube_all,minecraft:block/acacia_planks,medium,
minecraft:acacia_pressure_plate,irregular_dependent,irregular_model,dependent_on_support_or_counterpart,"Irregular non-cube geometry that is expected to depend on a support block, substrate, or paired state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Pressure plate geometry is a low rectangular floor plate occupying most of the x/z footprint. powered=false is slightly raised; powered=true lowers it closer to the supporting block.",#A85A32,168,90,50,1.000,,,none,,2,2,no,minecraft:block/acacia_pressure_plate;minecraft:block/acacia_pressure_plate_down,block;pressure_plate_down;pressure_plate_up;thin_block,minecraft:block/acacia_planks,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:acacia_sapling,irregular_dependent,cross_planes,dependent_on_support_or_counterpart,"Irregular crossed flat planes with transparent cutout texture, typically plant-like and support/substrate dependent.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Cross-plane geometry: two near-zero-thickness quads cross diagonally through the block center, usually spanning most of y=0..1. The visible silhouette comes from transparent texture pixels, not from cuboid volume; placement normally depends on ground or substrate support.",#787919,120,121,25,1.000,,,none,,1,1,no,minecraft:block/acacia_sapling,cross,minecraft:block/acacia_sapling,medium,
minecraft:acacia_shelf,irregular_self_supporting,irregular_model,self_supporting_geometry,Irregular non-cube geometry that can be used as a standalone placed form.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular model geometry resolved from block models. Representative normalized cuboids/planes: minecraft:block/acacia_shelf -> 3 elements: [0,0,0.8125]-[1,1,1] + [0,0,0.6875]-[1,0.25,0.8125] + [0,0.75,0.6875]-[1,1,0.8125] | minecraft:block/acacia_shelf_unpowered -> 1 element: [0,0.25,0.8125]-[1,0.75,0.8125]. Orientation or count states rotate, swap, or combine these cuboids without making the block a full cube.",#9A5535,154,85,53,1.000,,,none,,6,24,yes,minecraft:block/acacia_shelf;minecraft:block/acacia_shelf_center;minecraft:block/acacia_shelf_left;minecraft:block/acacia_shelf_right;minecraft:block/acacia_shelf_unconnected;minecraft:block/acacia_shelf_unpowered,block;template_shelf_body;template_shelf_center;template_shelf_left;template_shelf_right;template_shelf_unconnected;template_shelf_unpowered,minecraft:block/acacia_shelf,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:acacia_sign,entity_block,entity_renderer,entity_or_block_entity_renderer,Special renderer/entity-style block; normal model geometry is not authoritative.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. This block is rendered by an entity, block entity, or special renderer rather than by a normal solid block model. Treat its world geometry as renderer-defined; this CSV intentionally does not infer a precise color or cuboid mesh from the block model.",,,,,,,,none,,1,1,no,minecraft:block/acacia_sign,,,high,Average color intentionally omitted because this is handled by entity/block-entity rendering.
minecraft:acacia_slab,slab,slab,self_supporting_geometry,Half-height or full-height rectangular prism selected by slab type.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. type=bottom occupies [0,0,0]-[1,0.5,1]. type=top occupies [0,0.5,0]-[1,1,1]. type=double is a full cube [0,0,0]-[1,1,1]. Single-slab states are exactly half-height rectangular prisms.",#A95B33,169,91,51,1.000,,,none,architectural_shape,3,3,no,minecraft:block/acacia_planks;minecraft:block/acacia_slab;minecraft:block/acacia_slab_top,block;cube;cube_all;slab;slab_top,minecraft:block/acacia_planks,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:acacia_stairs,stairs,stairs,self_supporting_geometry,"Step-shaped block: half-block base plus one or more quarter/half prisms; straight, inner-corner, and outer-corner variants.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Stairs are a full 1x1x1 cube with step-shaped upper/lower half removed. For half=bottom, shape=straight occupies a full bottom half [0,0,0]-[1,0.5,1] plus one upper half-prism [0.5,0.5,0]-[1,1,1] in the canonical east-facing model, so the side profile is an L and the missing volume is a 0.5x0.5x1 prism; facing rotates that prism to north/east/south/west. half=top mirrors the geometry vertically, putting the full half at y=0.5..1 and the step/void in y=0..0.5. shape=inner_left/inner_right occupies the full lower (or upper, for half=top) half plus an L-shaped pair of 0.5x0.5x1 and 0.5x0.5x0.5 upper/lower prisms, leaving exactly one 0.5x0.5x0.5 corner void; left/right chooses the corner after the facing rotation. shape=outer_left/outer_right occupies the full half plus only one 0.5x0.5x0.5 corner prism in the opposite half, leaving the other three corner quarters empty; left/right chooses the retained corner after facing rotation.",#A95B33,169,91,51,1.000,,,none,architectural_shape,3,40,yes,minecraft:block/acacia_stairs;minecraft:block/acacia_stairs_inner;minecraft:block/acacia_stairs_outer,block;inner_stairs;outer_stairs;stairs,minecraft:block/acacia_planks,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:acacia_trapdoor,irregular_dependent,hinged_panel,dependent_on_support_or_counterpart,"Irregular thin hinged panel; open/closed, half, hinge, or facing changes by state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Trapdoor geometry is a thin 1x1 panel about 0.1875 blocks thick. half=bottom places the closed panel at y=0..0.1875; half=top places it at y=0.8125..1. open=true rotates the same panel upright against the side chosen by facing.",#9F5834,159,88,52,1.000,,,none,,3,16,yes,minecraft:block/acacia_trapdoor_bottom;minecraft:block/acacia_trapdoor_open;minecraft:block/acacia_trapdoor_top,block;template_orientable_trapdoor_bottom;template_orientable_trapdoor_open;template_orientable_trapdoor_top;thin_block,minecraft:block/acacia_trapdoor,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:acacia_wall_hanging_sign,entity_block,entity_renderer,entity_or_block_entity_renderer,Special renderer/entity-style block; normal model geometry is not authoritative.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. This block is rendered by an entity, block entity, or special renderer rather than by a normal solid block model. Treat its world geometry as renderer-defined; this CSV intentionally does not infer a precise color or cuboid mesh from the block model.",,,,,,,,none,,1,1,no,minecraft:block/acacia_hanging_sign,,,high,Average color intentionally omitted because this is handled by entity/block-entity rendering.
